date,hits,keyword,geo,time,gprop,category,term,state,time_span
2023-01-01T00:00:00Z,91,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-01-08T00:00:00Z,91,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-01-15T00:00:00Z,79,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-01-22T00:00:00Z,86,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-01-29T00:00:00Z,88,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-02-05T00:00:00Z,83,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-02-12T00:00:00Z,88,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-02-19T00:00:00Z,82,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-02-26T00:00:00Z,85,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-03-05T00:00:00Z,88,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-03-12T00:00:00Z,89,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-03-19T00:00:00Z,99,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-03-26T00:00:00Z,96,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-04-02T00:00:00Z,97,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-04-09T00:00:00Z,94,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-04-16T00:00:00Z,87,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-04-23T00:00:00Z,90,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-04-30T00:00:00Z,95,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-05-07T00:00:00Z,94,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-05-14T00:00:00Z,94,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-05-21T00:00:00Z,100,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-05-28T00:00:00Z,92,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-06-04T00:00:00Z,93,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-06-11T00:00:00Z,98,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-06-18T00:00:00Z,96,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-06-25T00:00:00Z,91,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-07-02T00:00:00Z,98,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-07-09T00:00:00Z,91,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-07-16T00:00:00Z,90,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-07-23T00:00:00Z,86,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-07-30T00:00:00Z,86,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-08-06T00:00:00Z,89,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-08-13T00:00:00Z,83,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-08-20T00:00:00Z,87,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-08-27T00:00:00Z,87,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-09-03T00:00:00Z,87,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-09-10T00:00:00Z,86,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-09-17T00:00:00Z,83,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
2023-09-24T00:00:00Z,84,pornhub,US-WV,2023-01-01 2023-10-01,web,0,pornhub,WV,2023-01-01 2023-10-01
