date,hits,keyword,geo,time,gprop,category,term,state,time_span
2021-12-26T00:00:00Z,100,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-01-02T00:00:00Z,81,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-01-09T00:00:00Z,82,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-01-16T00:00:00Z,83,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-01-23T00:00:00Z,76,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-01-30T00:00:00Z,73,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-02-06T00:00:00Z,71,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-02-13T00:00:00Z,65,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-02-20T00:00:00Z,75,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-02-27T00:00:00Z,71,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-03-06T00:00:00Z,71,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-03-13T00:00:00Z,67,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-03-20T00:00:00Z,74,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-03-27T00:00:00Z,66,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-04-03T00:00:00Z,64,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-04-10T00:00:00Z,72,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-04-17T00:00:00Z,62,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-04-24T00:00:00Z,65,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-05-01T00:00:00Z,66,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-05-08T00:00:00Z,68,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-05-15T00:00:00Z,72,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-05-22T00:00:00Z,76,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-05-29T00:00:00Z,70,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-06-05T00:00:00Z,81,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-06-12T00:00:00Z,80,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-06-19T00:00:00Z,70,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-06-26T00:00:00Z,73,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-07-03T00:00:00Z,76,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-07-10T00:00:00Z,73,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-07-17T00:00:00Z,77,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-07-24T00:00:00Z,81,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-07-31T00:00:00Z,77,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-08-07T00:00:00Z,70,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-08-14T00:00:00Z,80,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-08-21T00:00:00Z,72,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-08-28T00:00:00Z,75,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-09-04T00:00:00Z,72,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-09-11T00:00:00Z,70,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-09-18T00:00:00Z,62,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-09-25T00:00:00Z,63,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-10-02T00:00:00Z,78,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-10-09T00:00:00Z,69,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-10-16T00:00:00Z,63,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-10-23T00:00:00Z,52,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-10-30T00:00:00Z,65,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-11-06T00:00:00Z,70,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-11-13T00:00:00Z,68,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-11-20T00:00:00Z,73,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-11-27T00:00:00Z,67,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-12-04T00:00:00Z,67,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-12-11T00:00:00Z,69,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-12-18T00:00:00Z,73,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2022-12-25T00:00:00Z,74,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
2023-01-01T00:00:00Z,74,xvideos,US-RI,2022-01-01 2024-10-31,web,0,xvideos,RI,2022-01-01 2024-10-31
